iso3,year,type,id,admin
AFG,2025,hrp,1263,2
BDI,2025,hrp,1148,1
BFA,2025,hrp,1259,3
CAF,2025,hrp,1256,2
CMR,2025,hrp,1266,2
COD,2025,hrp,1261,3
COL,2025,hrp,1208,2
ETH,2025,hrp,1272,3
GRD,2025,fa,1202,1
GTM,2025,hrp,1269,2
HND,2025,hrp,1270,2
HTI,2025,hrp,1257,2
KEN,2025,fa,1137,1
LBN,2025,fa,1286,2
LBY,2025,fa,1196,
MDG,2025,fa,1191,2
MLI,2025,hrp,1222,2
MMR,2025,hrp,1275,2
MOZ,2025,hrp,1267,2
MOZ,2025,fa,1364,2
MOZ,2025,fa,1285,2
MWI,2025,fa,1281,1
NER,2025,hrp,1264,2
NGA,2025,hrp,1274,2
PSE,2025,fa,1273,1
SDN,2025,hrp,1220,2
SLV,2025,hrp,1268,2
SOM,2025,hrp,1221,2
SSD,2025,hrp,1223,2
SYR,2025,fa,1276,4
TCD,2025,hrp,1260,2
TUR,2025,fa,1150,
UKR,2025,hrp,1271,2
VCT,2025,fa,1204,1
VEN,2025,hrp,1277,2
YEM,2025,hrp,1262,2
ZMB,2025,fa,1278,2
ZWE,2025,fa,1280,2
